Title,Genre,Director,Country,Year,Rating
Двое в пустыне,,['Алты Артыков'],['СССР'],1968,
Знаки зодиака,['рекламный'],['Виктор Петров'],['СССР'],1975,
Катюша,['документальный фильм'],['Виктор Лисакович'],['СССР'],1965,
Шведская спичка,"['трагикомедия', 'экранизация литературного произведения']","['Салтыков, Николай Александрович']",['Украинская ССР'],1922,
Стенька Разин,['драма'],['Григорий Либкен'],['Российская империя'],1914,
Гладиатор,,['Вельё Кяспер'],"['СССР', 'Эстония']",1969,7.4
Главный свидетель,['драма'],['Аида Манасарова'],['СССР'],1969,6.5
Почтовый роман,['мелодрама'],['Евгений Матвеев'],['СССР'],1969,5.3
Один шанс из тысячи,"['военный фильм', 'приключенческий фильм']",['Левон Кочарян'],['СССР'],1968,6.0
Похоронная процессия роз,['драма'],['Тосио Мацумото'],['Япония'],1969,7.7
Похититель преступлений,['драма'],['Надин Трентиньян'],['Франция'],1969,5.8
Однажды вечером в поезде,['драма'],['Андре Дельво'],"['Франция', 'Бельгия']",1968,6.9
Пошехонская старина,['драма'],"['Наталья Бондарчук', 'Николай Бурляев', 'Игорь Хуциев']",['СССР'],1975,6.6
"Земля, позабытая временем","['приключенческий фильм', 'фантастика', 'драма', 'фэнтези', 'триллер']",['Кевин Коннор'],"['Великобритания', 'США']",1975,5.6
Потрясающий Берендеев,"['детская', 'комедия']",['Игорь Вознесенский'],['СССР'],1975,6.7
Пролетая над гнездом кукушки,['драма'],['Милош Форман'],['США'],1975,8.7
Зорро,"['комедия', 'вестерн', 'приключения']",['Дуччо Тессари'],"['Франция', 'Италия']",1975,6.4
Потрошитель из Нотр-Дама,['фильм ужасов'],['Хесус Франко'],"['Франция', 'Испания', 'Бельгия']",1975,4.7
Мятежная луна,['фантастика'],['Зак Снайдер'],['США'],2023,
История моей глупости,['Кинокомедия'],['Мартон Келети'],['Венгрия'],1965,7.6
"Ильза, волчица СС",['ужасы'],['Дон Эдмондс'],"['США', 'Канада']",1975,5.1
История одинокого мальчика,['социальная драма'],['Леонардо Фавио'],['Аргентина'],1965,7.5
Как пришить свою жёнушку,['кинокомедия'],['Ричард Куайн'],['США'],1965,6.5
Клятва Гиппократа,,['А. Неретниеце'],['СССР'],1965,5.9
Каникулы в гареме,"['комедия', 'мюзикл']",['Джин Нельсон'],['США'],1965,4.6
К лучшему,['трагикомедия'],['Джон Пэдди Карстэйрс'],['Великобритания'],1955,6.5
Квентин Дорвард,"['исторический фильм', 'приключение']",['Ричард Торп'],['Великобритания'],1955,6.3
К новому берегу,"['драма, экранизация, исторический фильм']",['Леонид Луков'],['СССР'],1955,6.5
К Востоку от Рая,['драма'],['Элиа Казан'],['США'],1955,7.8
Кафе на 101-й улице,"['Фильм нуар', 'Шпионский фильм']",['Эдвард Дейн'],['США'],1955,6.4
Княжна Мери,['драматический фильм'],['Исидор Анненский'],['СССР'],1955,6.7
Калиф на час,['кинокомедия'],['Джон Пэдди Карстэрс'],['Великобритания'],1955,6.3
Саспенс,['Фильм нуар'],['Фрэнк Таттл'],['США'],1946,6.4
Иные нынче времена,['комедия'],['Михаил Чиаурели'],['СССР'],1965,7.8
История в Феникс-сити,['Фильм нуар'],['Фил Карлсон'],['США'],1955,7.2
Как вас теперь называть?,"['исторический', 'военный', 'приключенческий']",['Владимир Чеботарёв'],['СССР'],1965,6.8
Похождения Насреддина,"['комедия', 'сказка']",['Наби Ганиев'],['СССР'],1946,7.1
Прелюдия к убийству,['детектив'],['Рой Уильям Нейл'],['США'],1946,6.8
Призрачный вор,"['Детективный фильм', 'Комедия', 'Фильм ужасов']",['Д. Росс Ледерман'],['США'],1946,6.4
Почтальон всегда звонит дважды,"['криминальный фильм', 'драма', 'нуар', 'мелодрама', 'триллер']",['Тэй Гарнетт'],['США'],1946,7.4
Преданность,"['фильм-биография', 'драма']",['Кёртис Бернхардт'],['США'],1946,6.6
Секрет Свистуна,"['Криминальная', 'мелодрама', 'Фильм нуар']",['Джордж Шерман'],['США'],1946,6.3
Песнь о великане ,,"['Григорий Рошаль', 'Вера Строева']",['СССР'],1942,
Пилот возвращается,['военный фильм'],['Роберто Росселлини'],['Королевство Италия'],1942,5.6
По ком звонит колокол,"['приключенческий фильм', 'драма', 'мелодрама', 'военный', 'исторический фильм']",['Сэм Вуд'],['США'],1942,6.8
Перекрёстки,"['Детективная мелодрама', 'Триллер']",['Джек Конуэй'],['США'],1942,6.7
Последний козырь,['криминальный фильм'],['Жак Беккер'],['Франция'],1942,5.9
Полустанок,['Фильм нуар'],['Леонид Могай'],['США'],1946,5.5
